Lote,Centrífuga,Centrifugada (1 o 2),Volumen centrifugado (L),Turbidez
23019.0,17825,1,200,26.8
23019.0,17825,1,400,26.3
23019.0,17825,1,600,28.2
23019.0,17825,1,800,28.1
23019.0,17825,1,1000,28.4
23019.0,17825,1,1200,27.7
23019.0,17825,1,1400,28.6
23019.0,17825,1,1600,28.5
23019.0,17825,1,1800,28.9
23019.0,17825,1,2000,28.2
23019.0,17825,2,100,20.8
23019.0,17825,2,200,20.8
23019.0,17825,2,300,21.6
23019.0,17825,2,400,21.5
23020.0,14246,1,200,29.8
23020.0,14246,1,400,28.6
23020.0,14246,1,600,30.9
23020.0,14246,1,800,28.6
23020.0,14246,1,1000,27.6
23020.0,14246,1,1200,27.8
23020.0,14246,1,1400,28.3
23020.0,14246,1,1600,27.6
23020.0,14246,1,1800,28.5
23020.0,14246,1,2000,26.9
23020.0,14246,2,100,12.8
23020.0,14246,2,200,13.0
23020.0,14246,2,300,12.9
23020.0,14246,2,400,12.9
23021.0,17825,1,200,28.6
23021.0,17825,1,400,30.4
23021.0,17825,1,600,28.7
23021.0,17825,1,800,28.7
23021.0,17825,1,1000,29.2
23021.0,17825,1,1200,28.6
23021.0,17825,1,1400,29.1
23021.0,17825,1,1600,29.5
23021.0,17825,1,1800,29.1
23021.0,17825,1,2000,29.0
23021.0,17825,2,100,18.5
23021.0,17825,2,200,20.5
23021.0,17825,2,300,17.8
23021.0,17825,2,400,20.2
23022.0,12912,1,200,26.3
23022.0,12912,1,400,26.4
23022.0,12912,1,600,26.2
23022.0,12912,1,800,26.4
23022.0,12912,1,1000,26.2
23022.0,12912,1,1200,26.1
23022.0,12912,1,1400,26.3
23022.0,12912,1,1600,27.0
23022.0,12912,1,1800,26.9
23022.0,12912,1,2000,26.6
23022.0,12912,2,100,10.1
23022.0,12912,2,200,10.0
23022.0,12912,2,300,11.0
23022.0,12912,2,400,9.4
23023.0,17825,1,200,26.6
23023.0,17825,1,400,26.0
23023.0,17825,1,600,26.2
23023.0,17825,1,800,26.8
23023.0,17825,1,1000,27.0
23023.0,17825,1,1200,26.2
23023.0,17825,1,1400,27.0
23023.0,17825,1,1600,27.0
23023.0,17825,1,1800,26.6
23023.0,17825,1,2000,26.9
23023.0,17825,2,100,21.0
23023.0,17825,2,200,21.0
23023.0,17825,2,300,20.8
23023.0,17825,2,400,20.6
23024.0,14246,1,200,24.6
23024.0,14246,1,400,24.3
23024.0,14246,1,600,24.2
23024.0,14246,1,800,24.4
23024.0,14246,1,1000,24.5
23024.0,14246,1,1200,24.7
23024.0,14246,1,1400,24.6
23024.0,14246,1,1600,24.7
23024.0,14246,1,1800,24.8
23024.0,14246,1,2000,24.4
23024.0,14246,2,100,10.4
23024.0,14246,2,200,11.5
23024.0,14246,2,300,9.0
23024.0,14246,2,400,10.4
23025.0,17825,1,200,31.0
23025.0,17825,1,400,30.7
23025.0,17825,1,600,30.2
23025.0,17825,1,800,30.5
23025.0,17825,1,1000,30.8
23025.0,17825,1,1200,31.1
23025.0,17825,1,1400,30.5
23025.0,17825,1,1600,30.5
23025.0,17825,1,1800,30.5
23025.0,17825,1,2000,30.9
23025.0,17825,2,100,29.4
23025.0,17825,2,200,29.5
23025.0,17825,2,300,29.3
23025.0,17825,2,400,28.6
23026.0,14246,1,200,26.7
23026.0,14246,1,400,26.3
23026.0,14246,1,600,26.2
23026.0,14246,1,800,26.2
23026.0,14246,1,1000,26.6
23026.0,14246,1,1200,26.4
23026.0,14246,1,1400,26.8
23026.0,14246,1,1600,26.1
23026.0,14246,1,1800,31.4
23026.0,14246,1,2000,26.6
23026.0,14246,2,100,12.4
23026.0,14246,2,200,11.4
23026.0,14246,2,300,11.8
23026.0,14246,2,400,10.9
23027.0,14246,1,200,26.5
23027.0,14246,1,400,28.1
23027.0,14246,1,600,25.7
23027.0,14246,1,800,27.4
23027.0,14246,1,1000,25.8
23027.0,14246,1,1200,26.4
23027.0,14246,1,1400,25.6
23027.0,14246,1,1600,26.4
23027.0,14246,1,1800,26.0
23027.0,14246,1,2000,25.8
23027.0,14246,2,100,10.0
23027.0,14246,2,200,10.9
23027.0,14246,2,300,9.4
23027.0,14246,2,400,9.6
23028.0,17825,1,200,27.0
23028.0,17825,1,400,27.3
23028.0,17825,1,600,27.6
23028.0,17825,1,800,28.6
23028.0,17825,1,1000,26.6
23028.0,17825,1,1200,27.2
23028.0,17825,1,1400,27.3
23028.0,17825,1,1600,27.3
23028.0,17825,1,1800,27.5
23028.0,17825,1,2000,27.4
23028.0,17825,2,100,12.3
23028.0,17825,2,200,12.9
23028.0,17825,2,300,12.0
23028.0,17825,2,400,11.8
23029.0,6379,1,200,28.3
23029.0,6379,1,400,28.2
23029.0,6379,1,600,27.8
23029.0,6379,1,800,27.6
23029.0,6379,1,1000,27.4
23029.0,6379,1,1200,27.5
23029.0,6379,1,1400,27.8
23029.0,6379,1,1600,27.9
23029.0,6379,1,1800,27.6
23029.0,6379,1,2000,27.8
23029.0,6379,2,100,13.4
23029.0,6379,2,200,13.5
23029.0,6379,2,300,13.2
23029.0,6379,2,400,13.4
23030.0,12912,1,200,29.2
23030.0,12912,1,400,28.8
23030.0,12912,1,600,28.2
23030.0,12912,1,800,28.2
23030.0,12912,1,1000,28.9
23030.0,12912,1,1200,28.7
23030.0,12912,1,1400,29.1
23030.0,12912,1,1600,29.0
23030.0,12912,1,1800,28.3
23030.0,12912,1,2000,28.9
23030.0,12912,2,100,10.6
23030.0,12912,2,200,9.6
23030.0,12912,2,300,20.8
23030.0,12912,2,400,9.2
23031.0,14246,1,200,28.2
23031.0,14246,1,400,29.0
23031.0,14246,1,600,30.7
23031.0,14246,1,800,28.4
23031.0,14246,1,1000,29.5
23031.0,14246,1,1200,29.8
23031.0,14246,1,1400,30.0
23031.0,14246,1,1600,29.8
23031.0,14246,1,1800,30.0
23031.0,14246,1,2000,29.6
23031.0,14246,2,100,11.8
23031.0,14246,2,200,
23031.0,14246,2,300,
23031.0,14246,2,400,
23032.0,17825,1,200,28.2
23032.0,17825,1,400,29.0
23032.0,17825,1,600,28.6
23032.0,17825,1,800,29.0
23032.0,17825,1,1000,30.7
23032.0,17825,1,1200,29.7
23032.0,17825,1,1400,29.9
23032.0,17825,1,1600,29.8
23032.0,17825,1,1800,29.8
23032.0,17825,1,2000,29.7
23032.0,17825,2,100,
23032.0,17825,2,200,
23032.0,17825,2,300,
23032.0,17825,2,400,
23033.0,14246,1,200,28.4
23033.0,14246,1,400,29.0
23033.0,14246,1,600,28.6
23033.0,14246,1,800,29.2
23033.0,14246,1,1000,28.6
23033.0,14246,1,1200,28.6
23033.0,14246,1,1400,30.3
23033.0,14246,1,1600,30.3
23033.0,14246,1,1800,29.7
23033.0,14246,1,2000,28.7
23033.0,14246,2,100,16.8
23033.0,14246,2,200,15.9
23033.0,14246,2,300,15.9
23033.0,14246,2,400,15.3
23034.0,12912,1,200,23.3
23034.0,12912,1,400,23.9
23034.0,12912,1,600,24.6
23034.0,12912,1,800,24.4
23034.0,12912,1,1000,24.2
23034.0,12912,1,1200,24.2
23034.0,12912,1,1400,23.8
23034.0,12912,1,1600,22.6
23034.0,12912,1,1800,24.4
23034.0,12912,1,2000,24.3
23034.0,12912,2,100,17.5
23034.0,12912,2,200,15.3
23034.0,12912,2,300,15.7
23034.0,12912,2,400,15.4
23035.0,17825,1,200,25.2
23035.0,17825,1,400,24.6
23035.0,17825,1,600,24.8
23035.0,17825,1,800,24.9
23035.0,17825,1,1000,26.2
23035.0,17825,1,1200,25.0
23035.0,17825,1,1400,24.5
23035.0,17825,1,1600,25.5
23035.0,17825,1,1800,24.3
23035.0,17825,1,2000,26.7
23035.0,17825,2,100,15.4
23035.0,17825,2,200,15.7
23035.0,17825,2,300,14.6
23035.0,17825,2,400,14.8
23036.0,14246,1,200,26.5
23036.0,14246,1,400,25.5
23036.0,14246,1,600,25.8
23036.0,14246,1,800,25.4
23036.0,14246,1,1000,25.4
23036.0,14246,1,1200,25.8
23036.0,14246,1,1400,26.1
23036.0,14246,1,1600,25.9
23036.0,14246,1,1800,26.5
23036.0,14246,1,2000,25.8
23036.0,14246,2,100,12.8
23036.0,14246,2,200,13.0
23036.0,14246,2,300,12.7
23036.0,14246,2,400,12.9
23037.0,17825,1,200,28.6
23037.0,17825,1,400,30.0
23037.0,17825,1,600,28.2
23037.0,17825,1,800,26.8
23037.0,17825,1,1000,27.9
23037.0,17825,1,1200,27.4
23037.0,17825,1,1400,27.8
23037.0,17825,1,1600,28.2
23037.0,17825,1,1800,28.3
23037.0,17825,1,2000,27.8
23037.0,17825,2,100,14.6
23037.0,17825,2,200,13.0
23037.0,17825,2,300,13.4
23037.0,17825,2,400,13.2
23038.0,14246,1,200,23.6
23038.0,14246,1,400,23.0
23038.0,14246,1,600,23.0
23038.0,14246,1,800,23.5
23038.0,14246,1,1000,23.6
23038.0,14246,1,1200,22.9
23038.0,14246,1,1400,22.8
23038.0,14246,1,1600,22.7
23038.0,14246,1,1800,23.0
23038.0,14246,1,2000,22.9
23038.0,14246,2,100,13.5
23038.0,14246,2,200,13.4
23038.0,14246,2,300,13.4
23038.0,14246,2,400,13.5
23039.0,17825,1,200,28.8
23039.0,17825,1,400,28.8
23039.0,17825,1,600,28.5
23039.0,17825,1,800,28.2
23039.0,17825,1,1000,28.5
23039.0,17825,1,1200,28.2
23039.0,17825,1,1400,29.0
23039.0,17825,1,1600,28.7
23039.0,17825,1,1800,28.2
23039.0,17825,1,2000,28.2
23039.0,17825,2,100,15.0
23039.0,17825,2,200,13.1
23039.0,17825,2,300,13.9
23039.0,17825,2,400,13.7
,14246,1,200,26.3
,14246,1,400,26.7
,14246,1,600,26.2
,14246,1,800,26.4
,14246,1,1000,26.3
,14246,1,1200,26.9
,14246,1,1400,26.6
,14246,1,1600,26.2
,14246,1,1800,26.0
,14246,1,2000,26.6
,14246,2,100,25.4
,14246,2,200,24.6
,14246,2,300,25.0
,14246,2,400,24.7
23040.0,14246,1,200,27.4
23040.0,14246,1,400,27.4
23040.0,14246,1,600,27.4
23040.0,14246,1,800,27.0
23040.0,14246,1,1000,27.3
23040.0,14246,1,1200,27.8
23040.0,14246,1,1400,27.8
23040.0,14246,1,1600,27.4
23040.0,14246,1,1800,27.8
23040.0,14246,1,2000,28.3
23040.0,14246,2,100,28.2
23040.0,14246,2,200,
23040.0,14246,2,300,
23040.0,14246,2,400,
23040.0,17825,1,200,23.4
23041.0,17825,1,400,23.2
23041.0,17825,1,600,23.2
23041.0,17825,1,800,23.3
23041.0,17825,1,1000,23.0
23041.0,17825,1,1200,23.4
23041.0,17825,1,1400,23.4
23041.0,17825,1,1600,23.3
23041.0,17825,1,1800,23.3
23041.0,17825,1,2000,23.3
23041.0,17825,2,100,21.7
23041.0,17825,2,200,21.8
23041.0,17825,2,300,21.0
23041.0,17825,2,400,20.5
23042.0,17825,1,200,24.6
23042.0,17825,1,400,24.4
23042.0,17825,1,600,24.2
23042.0,17825,1,800,24.3
23042.0,17825,1,1000,24.2
23042.0,17825,1,1200,24.4
23042.0,17825,1,1400,24.6
23042.0,17825,1,1600,24.6
23042.0,17825,1,1800,24.5
23042.0,17825,1,2000,24.2
23042.0,17825,2,100,18.7
23042.0,17825,2,200,17.8
23042.0,17825,2,300,18.5
23042.0,17825,2,400,18.2
23044.0,17825,1,200,22.7
23044.0,17825,1,400,23.1
23044.0,17825,1,600,23.0
23044.0,17825,1,800,23.1
23044.0,17825,1,1000,24.0
23044.0,17825,1,1200,23.4
23044.0,17825,1,1400,23.2
23044.0,17825,1,1600,23.1
23044.0,17825,1,1800,23.6
23044.0,17825,1,2000,23.4
23044.0,17825,2,100,11.5
23044.0,17825,2,200,11.7
23044.0,17825,2,300,11.8
23044.0,17825,2,400,11.5
23043.0,14246,1,200,27.4
23043.0,14246,1,400,25.8
23043.0,14246,1,600,25.7
23043.0,14246,1,800,24.1
23043.0,14246,1,1000,24.1
23043.0,14246,1,1200,24.7
23043.0,14246,1,1400,24.0
23043.0,14246,1,1600,24.7
23043.0,14246,1,1800,24.2
23043.0,14246,1,2000,24.5
23043.0,14246,2,100,19.2
23043.0,14246,2,200,18.7
23043.0,14246,2,300,18.3
23043.0,14246,2,400,18.3
23045.0,17825,1,200,28.2
23045.0,17825,1,400,28.1
23045.0,17825,1,600,27.8
23045.0,17825,1,800,28.1
23045.0,17825,1,1000,27.6
23045.0,17825,1,1200,27.8
23045.0,17825,1,1400,27.6
23045.0,17825,1,1600,27.4
23045.0,17825,1,1800,27.8
23045.0,17825,1,2000,28.1
23045.0,17825,2,100,16.0
23045.0,17825,2,200,15.4
23045.0,17825,2,300,15.7
23045.0,17825,2,400,15.6
23046.0,14246,1,200,23.1
23046.0,14246,1,400,21.5
23046.0,14246,1,600,21.4
23046.0,14246,1,800,21.1
23046.0,14246,1,1000,21.5
23046.0,14246,1,1200,21.6
23046.0,14246,1,1400,21.8
23046.0,14246,1,1600,22.4
23046.0,14246,1,1800,22.2
23046.0,14246,1,2000,22.7
23046.0,14246,2,100,15.1
23046.0,14246,2,200,14.6
23046.0,14246,2,300,14.3
23046.0,14246,2,400,14.7
23047.0,17825,1,200,28.2
23047.0,17825,1,400,27.0
23047.0,17825,1,600,26.6
23047.0,17825,1,800,26.3
23047.0,17825,1,1000,27.4
23047.0,17825,1,1200,26.7
23047.0,17825,1,1400,26.6
23047.0,17825,1,1600,26.2
23047.0,17825,1,1800,26.1
23047.0,17825,1,2000,26.3
23047.0,17825,2,100,19.4
23047.0,17825,2,200,19.0
23047.0,17825,2,300,19.6
23047.0,17825,2,400,19.1
,17825,1,200,24.6
,17825,1,400,24.6
,17825,1,600,23.9
,17825,1,800,24.5
,17825,1,1000,24.2
,17825,1,1200,25.0
,17825,1,1400,24.4
,17825,1,1600,24.7
,17825,1,1800,25.0
,17825,1,2000,24.6
,17825,2,100,19.4
,17825,2,200,18.6
,17825,2,300,18.5
,17825,2,400,19.0
23048.0,14246,1,200,22.5
23048.0,14246,1,400,21.7
23048.0,14246,1,600,21.8
23048.0,14246,1,800,21.6
23048.0,14246,1,1000,21.8
23048.0,14246,1,1200,21.8
23048.0,14246,1,1400,22.0
23048.0,14246,1,1600,21.8
23048.0,14246,1,1800,21.9
23048.0,14246,1,2000,21.8
23048.0,14246,2,100,19.2
23048.0,14246,2,200,20.2
23048.0,14246,2,300,20.0
23048.0,14246,2,400,19.9
23049.0,17825,1,200,21.2
23049.0,17825,1,400,22.2
23049.0,17825,1,600,21.8
23049.0,17825,1,800,21.0
23049.0,17825,1,1000,21.4
23049.0,17825,1,1200,21.2
23049.0,17825,1,1400,21.0
23049.0,17825,1,1600,21.2
23049.0,17825,1,1800,21.5
23049.0,17825,1,2000,21.4
23049.0,17825,2,100,29.9
23049.0,17825,2,200,23.8
23049.0,17825,2,300,24.5
23049.0,17825,2,400,25.2
23050.0,17825,1,200,24.3
23050.0,17825,1,400,24.1
23050.0,17825,1,600,24.2
23050.0,17825,1,800,24.2
23050.0,17825,1,1000,24.5
23050.0,17825,1,1200,24.3
23050.0,17825,1,1400,24.2
23050.0,17825,1,1600,24.5
23050.0,17825,1,1800,24.4
23050.0,17825,1,2000,24.2
23050.0,17825,2,100,70.0
23050.0,17825,2,200,21.4
23050.0,17825,2,300,21.2
23050.0,17825,2,400,21.3
23051.0,14246,1,200,22.4
23051.0,14246,1,400,22.2
23051.0,14246,1,600,22.0
23051.0,14246,1,800,21.9
23051.0,14246,1,1000,22.3
23051.0,14246,1,1200,22.1
23051.0,14246,1,1400,22.2
23051.0,14246,1,1600,21.1
23051.0,14246,1,1800,20.6
23051.0,14246,1,2000,20.0
23051.0,14246,2,100,13.8
23051.0,14246,2,200,14.0
23051.0,14246,2,300,13.7
23051.0,14246,2,400,13.5
23052.0,14246,1,200,26.6
23052.0,14246,1,400,26.2
23052.0,14246,1,600,25.5
23052.0,14246,1,800,25.8
23052.0,14246,1,1000,26.1
23052.0,14246,1,1200,25.5
23052.0,14246,1,1400,25.8
23052.0,14246,1,1600,26.2
23052.0,14246,1,1800,26.3
23052.0,14246,1,2000,
23052.0,14246,2,100,22.7
23052.0,14246,2,200,22.6
23052.0,14246,2,300,23.1
23052.0,14246,2,400,23.0
23053.0,17825,1,200,25.0
23053.0,17825,1,400,24.7
23053.0,17825,1,600,24.3
23053.0,17825,1,800,24.6
23053.0,17825,1,1000,24.6
23053.0,17825,1,1200,24.6
23053.0,17825,1,1400,24.2
23053.0,17825,1,1600,23.7
23053.0,17825,1,1800,23.9
23053.0,17825,1,2000,24.2
23053.0,17825,2,100,14.5
23053.0,17825,2,200,12.6
23053.0,17825,2,300,15.1
23053.0,17825,2,400,14.6
23054.0,14246,1,200,24.2
23054.0,14246,1,400,23.1
23054.0,14246,1,600,26.4
23054.0,14246,1,800,24.0
23054.0,14246,1,1000,24.3
23054.0,14246,1,1200,24.1
23054.0,14246,1,1400,24.2
23054.0,14246,1,1600,23.9
23054.0,14246,1,1800,23.9
23054.0,14246,1,2000,24.9
23054.0,14246,2,100,30.2
23054.0,14246,2,200,28.8
23054.0,14246,2,300,28.7
23054.0,14246,2,400,29.0
23055.0,17825,1,200,26.7
23055.0,17825,1,400,26.6
23055.0,17825,1,600,24.0
23055.0,17825,1,800,27.0
23055.0,17825,1,1000,26.7
23055.0,17825,1,1200,26.5
23055.0,17825,1,1400,26.2
23055.0,17825,1,1600,26.8
23055.0,17825,1,1800,26.6
23055.0,17825,1,2000,26.3
23055.0,17825,2,100,24.1
23055.0,17825,2,200,22.6
23055.0,17825,2,300,23.8
23055.0,17825,2,400,23.8
23056.0,14246,1,200,29.5
23056.0,14246,1,400,29.3
23056.0,14246,1,600,29.0
23056.0,14246,1,800,29.5
23056.0,14246,1,1000,27.4
23056.0,14246,1,1200,27.6
23056.0,14246,1,1400,29.4
23056.0,14246,1,1600,29.4
23056.0,14246,1,1800,29.3
23056.0,14246,1,2000,29.8
23056.0,14246,2,100,23.4
23056.0,14246,2,200,23.8
23056.0,14246,2,300,23.5
23056.0,14246,2,400,22.3
23057.0,17825,1,200,27.1
23057.0,17825,1,400,27.1
23057.0,17825,1,600,27.3
23057.0,17825,1,800,26.4
23057.0,17825,1,1000,27.0
23057.0,17825,1,1200,27.1
23057.0,17825,1,1400,27.4
23057.0,17825,1,1600,26.9
23057.0,17825,1,1800,27.0
23057.0,17825,1,2000,27.3
23057.0,17825,2,100,20.8
23057.0,17825,2,200,21.7
23057.0,17825,2,300,21.1
23057.0,17825,2,400,21.3
23060.0,14246,1,200,24.4
23060.0,14246,1,400,23.3
23060.0,14246,1,600,23.3
23060.0,14246,1,800,23.4
23060.0,14246,1,1000,23.5
23060.0,14246,1,1200,23.8
23060.0,14246,1,1400,24.2
23060.0,14246,1,1600,24.3
23060.0,14246,1,1800,24.1
23060.0,14246,1,2000,23.8
23060.0,14246,2,100,20.2
23060.0,14246,2,200,20.4
23060.0,14246,2,300,20.1
23060.0,14246,2,400,20.2
23061.0,17825,1,200,25.7
23061.0,17825,1,400,25.8
23061.0,17825,1,600,25.0
23061.0,17825,1,800,25.6
23061.0,17825,1,1000,25.9
23061.0,17825,1,1200,25.8
23061.0,17825,1,1400,26.2
23061.0,17825,1,1600,26.1
23061.0,17825,1,1800,25.8
23061.0,17825,1,2000,25.9
23061.0,17825,2,100,21.0
23061.0,17825,2,200,20.9
23061.0,17825,2,300,20.4
23061.0,17825,2,400,21.2
,14246,1,200,26.2
,14246,1,400,26.3
,14246,1,600,30.2
,14246,1,800,26.3
,14246,1,1000,26.7
,14246,1,1200,26.6
,14246,1,1400,26.7
,14246,1,1600,26.7
,14246,1,1800,26.6
,14246,1,2000,26.5
,14246,2,100,25.4
,14246,2,200,18.6
,14246,2,300,16.4
,14246,2,400,12.2
23062.0,17825,1,200,26.5
23062.0,17825,1,400,26.8
23062.0,17825,1,600,25.9
23062.0,17825,1,800,25.8
23062.0,17825,1,1000,26.2
23062.0,17825,1,1200,26.5
23062.0,17825,1,1400,26.1
23062.0,17825,1,1600,25.9
23062.0,17825,1,1800,26.2
23062.0,17825,1,2000,25.8
23062.0,17825,2,100,20.0
23062.0,17825,2,200,22.6
23062.0,17825,2,300,19.8
23062.0,17825,2,400,18.9
23063.0,14246,1,200,25.4
23063.0,14246,1,400,25.4
23063.0,14246,1,600,25.4
23063.0,14246,1,800,25.5
23063.0,14246,1,1000,25.8
23063.0,14246,1,1200,25.1
23063.0,14246,1,1400,25.4
23063.0,14246,1,1600,28.5
23063.0,14246,1,1800,25.8
23063.0,14246,1,2000,26.5
23063.0,14246,2,100,15.8
23063.0,14246,2,200,15.9
23063.0,14246,2,300,15.6
23063.0,14246,2,400,15.8
23064.0,14246,1,200,27.0
23064.0,14246,1,400,26.9
23064.0,14246,1,600,26.9
23064.0,14246,1,800,26.7
23064.0,14246,1,1000,27.2
23064.0,14246,1,1200,27.0
23064.0,14246,1,1400,27.6
23064.0,14246,1,1600,27.4
23064.0,14246,1,1800,27.9
23064.0,14246,1,2000,28.5
23064.0,14246,2,100,26.7
23064.0,14246,2,200,26.2
23064.0,14246,2,300,26.6
23064.0,14246,2,400,26.5
23065.0,17825,1,200,27.2
23065.0,17825,1,400,27.6
23065.0,17825,1,600,27.8
23065.0,17825,1,800,27.8
23065.0,17825,1,1000,27.1
23065.0,17825,1,1200,27.6
23065.0,17825,1,1400,27.6
23065.0,17825,1,1600,28.2
23065.0,17825,1,1800,28.1
23065.0,17825,1,2000,28.2
23065.0,17825,2,100,20.6
23065.0,17825,2,200,19.0
23065.0,17825,2,300,20.3
23065.0,17825,2,400,20.2
23067.0,14246,1,200,24.0
23067.0,14246,1,400,22.8
23067.0,14246,1,600,24.1
23067.0,14246,1,800,23.1
23067.0,14246,1,1000,22.8
23067.0,14246,1,1200,23.5
23067.0,14246,1,1400,23.1
23067.0,14246,1,1600,24.1
23067.0,14246,1,1800,23.6
23067.0,14246,1,2000,24.2
23067.0,14246,2,100,17.8
23067.0,14246,2,200,17.7
23067.0,14246,2,300,15.8
23067.0,14246,2,400,16.1
23068.0,14246,1,200,24.2
23068.0,14246,1,400,24.1
23068.0,14246,1,600,23.9
23068.0,14246,1,800,23.8
23068.0,14246,1,1000,24.2
23068.0,14246,1,1200,24.2
23068.0,14246,1,1400,24.2
23068.0,14246,1,1600,24.3
23068.0,14246,1,1800,24.6
23068.0,14246,1,2000,24.5
23068.0,14246,2,100,23.2
23068.0,14246,2,200,22.6
23068.0,14246,2,300,22.5
23068.0,14246,2,400,19.5
23069.0,17825,1,200,23.3
23069.0,17825,1,400,23.2
23069.0,17825,1,600,24.1
23069.0,17825,1,800,23.5
23069.0,17825,1,1000,23.8
23069.0,17825,1,1200,23.8
23069.0,17825,1,1400,24.1
23069.0,17825,1,1600,23.5
23069.0,17825,1,1800,23.8
23069.0,17825,1,2000,23.5
23069.0,17825,2,100,19.0
23069.0,17825,2,200,18.8
23069.0,17825,2,300,18.0
23069.0,17825,2,400,17.4
23066.0,17825,1,200,25.1
23066.0,17825,1,400,24.5
23066.0,17825,1,600,25.0
23066.0,17825,1,800,24.6
23066.0,17825,1,1000,25.5
23066.0,17825,1,1200,26.1
23066.0,17825,1,1400,24.6
23066.0,17825,1,1600,25.9
23066.0,17825,1,1800,25.0
23066.0,17825,1,2000,24.6
23066.0,17825,2,100,
23066.0,17825,2,200,10.5
23066.0,17825,2,300,16.0
23066.0,17825,2,400,16.2
23070.0,14246,1,200,26.6
23070.0,14246,1,400,25.7
23070.0,14246,1,600,25.4
23070.0,14246,1,800,25.5
23070.0,14246,1,1000,25.6
23070.0,14246,1,1200,25.9
23070.0,14246,1,1400,25.8
23070.0,14246,1,1600,26.8
23070.0,14246,1,1800,24.9
23070.0,14246,1,2000,25.0
23070.0,14246,2,100,15.6
23070.0,14246,2,200,14.8
23070.0,14246,2,300,15.4
23070.0,14246,2,400,15.4
23071.0,14246,1,200,28.6
23071.0,14246,1,400,28.2
23071.0,14246,1,600,27.1
23071.0,14246,1,800,27.8
23071.0,14246,1,1000,28.6
23071.0,14246,1,1200,28.1
23071.0,14246,1,1400,28.2
23071.0,14246,1,1600,29.0
23071.0,14246,1,1800,28.6
23071.0,14246,1,2000,29.4
23071.0,14246,2,100,27.3
23071.0,14246,2,200,26.6
23071.0,14246,2,300,26.5
23071.0,14246,2,400,27.0
23072.0,17825,1,200,23.9
23072.0,17825,1,400,23.3
23072.0,17825,1,600,25.0
23072.0,17825,1,800,24.1
23072.0,17825,1,1000,24.2
23072.0,17825,1,1200,24.6
23072.0,17825,1,1400,24.6
23072.0,17825,1,1600,24.7
23072.0,17825,1,1800,24.8
23072.0,17825,1,2000,23.4
23072.0,17825,2,100,22.6
23072.0,17825,2,200,22.9
23072.0,17825,2,300,23.0
23072.0,17825,2,400,22.3
23073.0,14246,1,200,28.6
23073.0,14246,1,400,26.6
23073.0,14246,1,600,27.8
23073.0,14246,1,800,27.8
23073.0,14246,1,1000,28.4
23073.0,14246,1,1200,31.8
23073.0,14246,1,1400,31.8
23073.0,14246,1,1600,32.0
23073.0,14246,1,1800,31.7
23073.0,14246,1,2000,31.8
23073.0,14246,2,100,28.3
23073.0,14246,2,200,26.4
23073.0,14246,2,300,26.4
23073.0,14246,2,400,25.8
23075.0,17825,1,200,30.2
23075.0,17825,1,400,29.8
23075.0,17825,1,600,30.2
23075.0,17825,1,800,29.5
23075.0,17825,1,1000,29.9
23075.0,17825,1,1200,31.4
23075.0,17825,1,1400,31.8
23075.0,17825,1,1600,31.7
23075.0,17825,1,1800,31.5
23075.0,17825,1,2000,31.4
23075.0,17825,2,100,21.4
23075.0,17825,2,200,21.1
23075.0,17825,2,300,19.8
23075.0,17825,2,400,20.0
23074.0,14246,1,200,26.5
23074.0,14246,1,400,25.9
23074.0,14246,1,600,26.3
23074.0,14246,1,800,26.8
23074.0,14246,1,1000,26.6
23074.0,14246,1,1200,26.6
23074.0,14246,1,1400,26.6
23074.0,14246,1,1600,26.6
23074.0,14246,1,1800,27.3
23074.0,14246,1,2000,27.0
23074.0,14246,2,100,22.2
23074.0,14246,2,200,22.3
23074.0,14246,2,300,23.2
