Lote;Fecha;Turbidez;Viabilidad;
23019;2023-03-21 06:30:00;32,8;1,34E+08;
23020;2023-03-21 06:30:00;32,8;1,34E+08;
23021;2023-03-22 06:30:00;27,8;1,15E+08;
23022;2023-03-22 06:30:00;27,8;1,15E+08;
23023;2023-03-27 07:30:00;18,2;1,09E+07;
23023;2023-03-27 11:30:00;18,8;1,50E+07;
23023;2023-03-27 15:30:00;19,2;1,99E+07;
23023;2023-03-27 19:30:00;21,2;3,65E+07;
23023;2023-03-28 06:30:00;31,7;1,06E+08;
23024;2023-03-27 07:30:00;18,2;1,09E+07;
23024;2023-03-27 11:30:00;18,8;1,50E+07;
23024;2023-03-27 15:30:00;19,2;1,99E+07;
23024;2023-03-27 19:30:00;21,2;3,65E+07;
23024;2023-03-28 06:30:00;31,7;1,06E+08;
23025;2023-03-28 07:30:00;17,0;5,19E+06;
23025;2023-03-28 11:30:00;17,7;7,89E+06;
23025;2023-03-28 15:30:00;18,1;1,23E+07;
23025;2023-03-28 19:30:00;19,0;2,13E+07;
23025;2023-03-29 06:30:00;27,6;8,48E+07;
23026;2023-03-28 07:30:00;17,0;5,19E+06;
23026;2023-03-28 11:30:00;17,7;7,89E+06;
23026;2023-03-28 15:30:00;18,1;1,23E+07;
23026;2023-03-28 19:30:00;19,0;2,13E+07;
23026;2023-03-29 06:30:00;27,6;8,48E+07;
23027;2023-04-03 14:00:00;18,9;4,85E+06;
23027;2023-04-03 18:00:00;19,0;1,02E+07;
23027;2023-04-04 06:30:00;21,9;2,49E+07;
23027;2023-04-04 10:00:00;23,5;1,05E+08;
23028;2023-04-03 14:00:00;18,9;4,85E+06;
23028;2023-04-03 18:00:00;19,0;1,02E+07;
23028;2023-04-04 06:30:00;21,9;2,49E+07;
23028;2023-04-04 10:00:00;23,5;1,05E+08;
23029;2023-04-17 08:20:00;18,4;5,62E+06;
23029;2023-04-17 12:20:00;18,2;8,59E+06;
23029;2023-04-17 16:20:00;19,3;1,39E+07;
23029;2023-04-17 20:20:00;20,0;1,81E+07;
23029;2023-04-18 06:15:00;28,0;9,65E+07;
23030;2023-04-17 08:20:00;18,4;5,62E+06;
23030;2023-04-17 12:20:00;18,2;8,59E+06;
23030;2023-04-17 16:20:00;19,3;1,39E+07;
23030;2023-04-17 20:20:00;20,0;1,81E+07;
23030;2023-04-18 06:15:00;28,0;9,65E+07;
23031;2023-04-17 08:20:00;17,6;5,31E+06;
23031;2023-04-17 12:20:00;17,8;9,17E+06;
23031;2023-04-17 16:20:00;18,9;1,21E+07;
23031;2023-04-17 20:20:00;19,7;2,00E+07;
23031;2023-04-18 06:15:00;28,1;1,06E+08;
23032;2023-04-17 08:20:00;17,6;5,31E+06;
23032;2023-04-17 12:20:00;17,8;9,17E+06;
23032;2023-04-17 16:20:00;18,9;1,21E+07;
23032;2023-04-17 20:20:00;19,7;2,00E+07;
23032;2023-04-18 06:15:00;28,1;1,06E+08;
23033;2023-04-24 14:00:00;17,0;7,51E+06;
23033;2023-04-24 18:00:00;17,0;1,30E+07;
23033;2023-04-25 07:30:00;20,9;7,65E+07;
23033;2023-04-25 08:30:00;21,2;9,51E+07;
23033;2023-04-25 11:00:00;22,8;9,36E+07;
23033;2023-04-25 12:15:00;24,2;1,04E+08;
23034;2023-04-24 14:00:00;17,0;7,51E+06;
23034;2023-04-24 18:00:00;17,0;1,30E+07;
23034;2023-04-25 07:30:00;20,9;7,65E+07;
23034;2023-04-25 08:30:00;21,2;9,51E+07;
23034;2023-04-25 11:00:00;22,8;9,36E+07;
23034;2023-04-25 12:15:00;24,2;1,04E+08;
23035;2023-04-24 07:30:00;18,0;6,13E+06;
23035;2023-04-24 11:30:00;18,1;1,12E+07;
23035;2023-04-24 15:30:00;18,9;1,29E+07;
23035;2023-04-24 19:30:00;19,9;1,99E+07;
23035;2023-04-25 06:00:00;24,8;7,01E+07;
23035;2023-04-25 07:30:00;26,2;8,13E+07;
23036;2023-05-14 08:00:00;14,2;5,19E+06;
23036;2023-05-15 06:30:00;16,4;5,67E+07;
23036;2023-05-15 09:00:00;16,5;5,57E+07;
23036;2023-05-15 10:45:00;16,4;5,26E+07;
23036;2023-05-15 12:00:00;15,9;5,29E+07;
23036;2023-05-15 16:00:00;17,8;3,49E+07;
23036;2023-05-15 20:00:00;19,0;2,95E+07;
23036;2023-05-16 06:30:00;21,2;7,03E+07;
23036;2023-05-16 07:50:00;22,0;5,49E+07;
23036;2023-05-16 12:00:00;22,2;7,60E+07;
23037;2023-05-14 08:00:00;14,2;5,19E+06;
23037;2023-05-15 06:30:00;16,4;5,67E+07;
23037;2023-05-15 09:00:00;16,5;5,57E+07;
23037;2023-05-15 10:45:00;16,4;5,26E+07;
23037;2023-05-15 12:00:00;15,9;5,29E+07;
23037;2023-05-15 16:00:00;17,8;3,49E+07;
23037;2023-05-15 20:00:00;19,0;2,95E+07;
23037;2023-05-16 06:30:00;21,2;7,03E+07;
23037;2023-05-16 07:50:00;22,0;5,49E+07;
23037;2023-05-16 12:00:00;22,2;7,60E+07;
23038;2023-05-08 13:20:00;17,0;5,06E+06;
23038;2023-05-09 06:30:00;19,3;1,10E+07;
23038;2023-05-09 10:30:00;19,2;9,68E+06;
23038;2023-05-09 12:45:00;20,3;1,03E+07;
23038;2023-05-09 18:00:00;21,0;8,72E+06;
23038;2023-05-09 21:00:00;21,2;9,49E+06;
23038;2023-05-10 06:30:00;22,5;1,07E+07;
23039;2023-05-08 13:20:00;17,0;5,06E+06;
23039;2023-05-09 06:30:00;19,3;1,10E+07;
23039;2023-05-09 10:30:00;19,2;9,68E+06;
23039;2023-05-09 12:45:00;20,3;1,03E+07;
23039;2023-05-09 18:00:00;21,0;8,72E+06;
23039;2023-05-09 21:00:00;21,2;9,49E+06;
23039;2023-05-10 06:30:00;22,5;1,07E+07;
23040;2023-05-29 07:45:00;13,9;4,30E+06;
23040;2023-05-29 11:30:00;13,9;7,57E+06;
23040;2023-05-29 16:00:00;14,9;1,47E+07;
23040;2023-05-29 20:00:00;15,7;1,93E+07;
23040;2023-05-30 06:30:00;24,5;1,07E+08;
23040;2023-05-30 10:30:00;29,3;1,66E+08;
23040;2023-05-30 11:45:00;32,3;1,55E+08;
23041;2023-05-29 07:45:00;13,9;4,30E+06;
23041;2023-05-29 11:30:00;13,9;7,57E+06;
23041;2023-05-29 16:00:00;14,9;1,47E+07;
23041;2023-05-29 20:00:00;15,7;1,93E+07;
23041;2023-05-30 06:30:00;24,5;1,07E+08;
23041;2023-05-30 10:30:00;29,3;1,66E+08;
23041;2023-05-30 11:45:00;32,3;1,55E+08;
23042;2023-05-30 08:00:00;14,3;4,92E+06;
23042;2023-05-30 12:00:00;14,3;9,79E+06;
23042;2023-05-30 16:00:00;15,5;1,15E+07;
23042;2023-05-30 20:00:00;16,7;2,14E+07;
23042;2023-05-31 06:30:00;24,6;1,09E+08;
23043;2023-06-05 08:15:00;16,1;4,74E+06;
23043;2023-06-05 12:15:00;16,4;7,16E+06;
23043;2023-06-05 16:15:00;16,5;9,84E+06;
23043;2023-06-05 20:15:00;18,3;1,24E+07;
23043;2023-06-06 06:00:00;23,8;4,46E+07;
23043;2023-06-06 07:40:00;24,2;5,19E+07;
23043;2023-06-06 09:00:00;23,6;5,49E+07;
23043;2023-06-06 10:00:00;24,8;5,92E+07;
23043;2023-06-06 11:30:00;25,2;7,69E+07;
23043;2023-06-06 13:00:00;27,2;7,93E+07;
23043;2023-06-06 15:00:00;29,1;7,37E+07;
23043;2023-06-06 17:00:00;31,4;7,95E+07;
23044;2023-06-05 08:15:00;14,5;7,11E+06;
23044;2023-06-05 12:15:00;14,7;1,05E+08;
23044;2023-06-05 16:15:00;15,5;1,45E+07;
23044;2023-06-05 20:15:00;16,2;1,87E+07;
23044;2023-06-06 06:00:00;19,6;6,05E+07;
23044;2023-06-06 07:40:00;19,8;7,03E+07;
23044;2023-06-06 09:00:00;19,7;7,57E+07;
23045;2023-06-11 07:50:00;13,2;2,70E+06;
23045;2023-06-12 06:30:00;24,2;8,75E+07;
23046;2023-06-12 09:15:00;13,2;4,56E+06;
23046;2023-06-12 13:00:00;13,7;6,33E+06;
23046;2023-06-12 16:30:00;14,2;8,91E+06;
23046;2023-06-12 20:30:00;15,4;1,49E+07;
23046;2023-06-13 07:00:00;23,4;8,67E+07;
23047;2023-06-12 09:15:00;13,2;4,56E+06;
23047;2023-06-12 13:00:00;13,7;6,33E+06;
23047;2023-06-12 16:30:00;14,2;8,91E+06;
23047;2023-06-12 20:30:00;15,4;1,49E+07;
23047;2023-06-13 07:00:00;23,4;8,67E+07;
P23243;2023-06-12 08:00:00;16,7;4,75E+06;
P23243;2023-06-12 12:00:00;18,0;7,51E+06;
P23243;2023-06-12 16:30:00;18,1;1,15E+07;
P23243;2023-06-12 20:30:00;20,6;2,03E+07;
P23243;2023-06-13 07:30:00;35,2;6,83E+07;
P23243;2023-06-13 12:00:00;46,3;9,57E+07;
P23243;2023-06-13 16:00:00;54,2;1,14E+08;
P23243;2023-06-13 20:00:00;62,2;1,44E+08;
P23243;2023-06-14 06:30:00;69,4;1,86E+08;
P23243;2023-06-14 07:30:00;70,2;1,74E+08;
P23243;2023-06-14 08:30:00;72,8;1,74E+08;
23048;2023-06-19 07:40:00;14,2;4,34E+06;
23048;2023-06-19 11:40:00;14,0;7,02E+06;
23048;2023-06-19 15:40:00;15,6;1,02E+07;
23048;2023-06-19 19:40:00;16,6;1,99E+07;
23048;2023-06-20 06:20:00;27,0;8,67E+07;
23049;2023-06-19 07:40:00;14,2;4,34E+06;
23049;2023-06-19 11:40:00;14,0;7,02E+06;
23049;2023-06-19 15:40:00;15,6;1,02E+07;
23049;2023-06-19 19:40:00;16,6;1,99E+07;
23049;2023-06-20 06:20:00;27,0;8,67E+07;
23050;2023-06-20 08:30:00;14,2;1,21E+07;
23050;2023-06-20 12:30:00;14,6;5,57E+06;
23050;2023-06-20 16:30:00;15,0;8,88E+06;
23050;2023-06-20 20:30:00;16,2;1,55E+07;
23050;2023-06-21 06:15:00;23,4;6,56E+07;
23050;2023-06-21 07:25:00;25,2;8,27E+07;
23051;2023-06-20 08:30:00;14,2;1,21E+07;
23051;2023-06-20 12:30:00;14,6;5,57E+06;
23051;2023-06-20 16:30:00;15,0;8,88E+06;
23051;2023-06-20 20:30:00;16,2;1,55E+07;
23051;2023-06-21 06:15:00;23,4;6,56E+07;
23051;2023-06-21 07:25:00;25,2;8,27E+07;
23052;2023-06-25 07:40:00;15,2;4,77E+06;
23052;2023-06-26 06:30:00;28,9;8,80E+07;
23053;2023-06-25 07:45:00;15,2;4,77E+06;
23053;2023-06-26 06:30:00;28,9;8,80E+07;
23054;2023-06-26 08:00:00;14,6;3,37E+06;
23054;2023-06-26 12:00:00;15,4;5,69E+06;
23054;2023-06-26 16:00:00;16,5;7,75E+06;
23054;2023-06-26 20:00:00;17,9;1,64E+07;
23054;2023-06-27 06:30:00;25,6;7,51E+07;
23054;2023-06-27 07:20:00;26,0;8,53E+07;
23055;2023-06-26 08:00:00;14,6;3,37E+06;
23055;2023-06-26 12:00:00;15,4;5,69E+06;
23055;2023-06-26 16:00:00;16,5;7,75E+06;
23055;2023-06-26 20:00:00;17,9;1,64E+07;
23055;2023-06-27 06:30:00;25,6;7,51E+07;
23055;2023-06-27 07:20:00;26,0;8,53E+07;
23059;2023-06-26 08:00:00;16,5;2,91E+06;
23059;2023-06-26 12:00:00;16,8;7,51E+06;
23059;2023-06-26 16:00:00;17,8;1,20E+07;
23059;2023-06-26 20:00:00;20,2;1,99E+07;
23059;2023-06-27 07:15:00;35,6;6,75E+07;
23059;2023-06-27 11:30:00;43,0;8,53E+07;
23059;2023-06-27 15:30:00;55,1;1,01E+08;
23059;2023-06-27 19:30:00;62,6;1,20E+08;
23059;2023-06-28 06:15:00;73,0;1,85E+08;
23059;2023-06-28 07:15:00;74,4;2,19E+08;
23059;2023-06-28 09:30:00;72,9;1,89E+08;
23056;2023-07-02 08:00:00;16,0;2,91E+06;
23056;2023-07-03 07:00:00;27,0;1,12E+08;
23057;2023-07-02 08:00:00;16,0;2,91E+06;
23057;2023-07-03 07:00:00;27,0;1,12E+08;
23060;2023-07-03 08:00:00;16,1;4,44E+06;
23060;2023-07-03 12:00:00;16,2;7,89E+06;
23060;2023-07-03 16:00:00;17,2;1,06E+07;
23060;2023-07-03 20:00:00;18,2;1,96E+07;
23060;2023-07-04 06:35:00;27,6;1,03E+08;
23061;2023-07-03 08:00:00;16,1;4,44E+06;
23061;2023-07-03 12:00:00;16,2;7,89E+06;
23061;2023-07-03 16:00:00;17,2;1,06E+07;
23061;2023-07-03 20:00:00;18,2;1,96E+07;
23061;2023-07-04 06:35:00;27,6;1,03E+08;
P23273;2023-07-03 09:00:00;18,7;7,31E+06;
P23273;2023-07-03 13:00:00;19,2;1,00E+07;
P23273;2023-07-03 17:00:00;20,8;1,43E+07;
P23273;2023-07-03 21:00:00;22,5;2,52E+07;
P23273;2023-07-04 08:00:00;38,0;4,85E+07;
P23273;2023-07-04 12:00:00;47,9;1,04E+08;
P23273;2023-07-04 16:00:00;57,4;9,89E+07;
P23273;2023-07-04 20:00:00;67,6;9,23E+07;
P23273;2023-07-05 06:00:00;78,0;1,55E+08;
P23273;2023-07-05 08:00:00;81,6;2,06E+08;
P23273;2023-07-05 10:00:00;89,6;9,12E+07;
23062;2023-07-09 07:30:00;16,2;5,73E+06;
23062;2023-07-10 06:30:00;22,8;1,02E+08;
23063;2023-07-09 07:30:00;16,2;5,73E+06;
23063;2023-07-10 06:30:00;22,8;1,02E+08;
23064;2023-07-10 08:00:00;15,9;4,47E+06;
23064;2023-07-10 12:00:00;16,2;9,15E+06;
23064;2023-07-10 16:00:00;17,5;1,24E+07;
23064;2023-07-10 20:00:00;17,4;2,85E+07;
23064;2023-07-11 06:00:00;23,0;9,68E+07;
23064;2023-07-11 07:00:00;24,9;1,12E+08;
23065;2023-07-10 08:00:00;15,9;4,47E+06;
23065;2023-07-10 12:00:00;16,2;9,15E+06;
23065;2023-07-10 16:00:00;17,5;1,24E+07;
23065;2023-07-10 20:00:00;17,4;2,85E+07;
23065;2023-07-11 06:00:00;23,0;9,68E+07;
23065;2023-07-11 07:00:00;24,9;1,12E+08;
23067;2023-07-16 08:00:00;16,1;6,45E+06;
23067;2023-07-17 06:30:00;25,5;1,31E+08;
23068;2023-07-17 08:00:00;14,2;4,83E+06;
23068;2023-07-17 12:00:00;15,7;8,63E+06;
23068;2023-07-17 16:00:00;16,0;1,29E+07;
23068;2023-07-17 20:00:00;16,5;1,89E+07;
23068;2023-07-18 06:15:00;21,9;1,31E+08;
23069;2023-07-17 08:00:00;14,2;4,83E+06;
23069;2023-07-17 12:00:00;15,7;8,63E+06;
23069;2023-07-17 16:00:00;16,0;1,29E+07;
23069;2023-07-17 20:00:00;16,5;1,89E+07;
23069;2023-07-18 06:15:00;21,9;1,31E+08;
23066;2023-07-23 08:42:00;14,2;4,05E+06;
23066;2023-07-24 07:45:00;26,3;8,62E+07;
23070;2023-07-23 08:42:00;14,2;4,05E+06;
23070;2023-07-24 07:45:00;26,3;8,62E+07;
23071;2023-07-24 07:45:00;12,7;3,66E+06;
23071;2023-07-24 11:00:00;13,3;6,59E+06;
23071;2023-07-24 15:00:00;14,0;1,01E+07;
23071;2023-07-24 19:00:00;15,0;2,56E+07;
23071;2023-07-25 06:15:00;25,5;7,69E+07;
23072;2023-07-24 07:45:00;12,7;3,66E+06;
23072;2023-07-24 11:00:00;13,3;6,59E+06;
23072;2023-07-24 15:00:00;14,0;1,01E+07;
23072;2023-07-24 19:00:00;15,0;2,56E+07;
23072;2023-07-25 06:15:00;25,5;7,69E+07;
23073;2023-07-30 06:30:00;15,4;3,74E+06;
23073;2023-07-31 06:30:00;26,0;8,59E+07;
23073;2023-07-31 07:40:00;28,0;1,05E+08;
23073;2023-07-31 09:00:00;29,8;1,11E+08;
23075;2023-07-30 06:30:00;15,4;3,74E+06;
23075;2023-07-31 06:30:00;26,0;8,59E+07;
23075;2023-07-31 07:40:00;28,0;1,05E+08;
23075;2023-07-31 09:00:00;29,8;1,11E+08;
23074;2023-07-31 07:45:00;17,8;3,24E+06;
23074;2023-07-31 12:00:00;17,9;7,23E+06;
23074;2023-07-31 16:00:00;18,6;8,43E+06;
23074;2023-07-31 20:00:00;20,1;1,90E+07;
23074;2023-08-01 06:15:00;28,8;5,88E+07;
23074;2023-08-01 07:15:00;29,2;8,28E+07;
23076;2023-07-31 07:45:00;14,2;3,57E+06;
23076;2023-07-31 12:00:00;14,5;7,32E+06;
23076;2023-07-31 16:00:00;15,4;8,75E+06;
23076;2023-07-31 20:00:00;16,6;1,29E+07;
23076;2023-08-01 06:15:00;25,4;9,20E+07;
23077;2023-09-03 08:00:00;18,2;5,54E+06;
23077;2023-09-04 07:00:00;26,6;8,32E+07;
23077;2023-09-04 08:50:00;29,9;1,25E+08;
23077;2023-09-04 10:30:00;33,0;1,38E+08;
23077;2023-09-04 11:40:00;34,8;1,03E+08;
23078;2023-09-03 08:00:00;18,2;5,54E+06;
23078;2023-09-04 07:00:00;26,6;8,32E+07;
23079;2023-09-04 07:45:00;14,6;2,98E+06;
23079;2023-09-04 12:00:00;14,8;8,02E+06;
23079;2023-09-04 16:00:00;15,8;1,10E+07;
23079;2023-09-04 20:00:00;16,6;2,09E+07;
23079;2023-09-05 07:00:00;27,1;7,16E+07;
23079;2023-09-05 07:45:00;28,2;9,28E+07;
23080;2023-09-04 07:45:00;14,6;2,98E+06;
23080;2023-09-04 12:00:00;14,8;8,02E+06;
23080;2023-09-04 16:00:00;15,8;1,10E+07;
23080;2023-09-04 20:00:00;16,6;2,09E+07;
23080;2023-09-05 07:00:00;27,1;7,16E+07;
23080;2023-09-05 07:45:00;28,2;9,28E+07;
23081;2023-09-12 08:00:00;14,6;3,68E+06;
23081;2023-09-12 12:00:00;15,2;6,97E+06;
23081;2023-09-12 16:00:00;15,8;1,02E+07;
23081;2023-09-12 20:00:00;16,6;1,75E+07;
23081;2023-09-13 07:00:00;24,5;7,99E+07;
23082;2023-09-12 08:00:00;14,6;3,68E+06;
23082;2023-09-12 12:00:00;15,2;6,97E+06;
23082;2023-09-12 16:00:00;15,8;1,02E+07;
23082;2023-09-12 20:00:00;16,6;1,75E+07;
23082;2023-09-13 07:00:00;24,5;7,99E+07;
23083;2023-09-11 08:15:00;14,7;2,41E+07;
23083;2023-09-12 07:15:00;28,4;9,10E+07;
23084;2023-09-11 08:15:00;14,7;2,41E+07;
23084;2023-09-12 07:15:00;28,4;9,10E+07;
23085;2023-09-25 09:00:00;15,4;3,52E+06;
23085;2023-09-25 07:45:00;29,4;1,00E+08;
23086;2023-09-25 09:00:00;15,4;3,52E+06;
23086;2023-09-25 07:45:00;29,4;1,00E+08;
23087;2023-09-25 08:30:00;15,0;4,46E+06;
23087;2023-09-25 13:00:00;15,0;5,46E+06;
23087;2023-09-25 17:00:00;15,6;9,52E+06;
23087;2023-09-25 21:00:00;16,5;2,28E+07;
23087;2023-09-26 07:00:00;22,2;7,66E+07;
23087;2023-09-26 08:00:00;24,7;7,09E+07;
23087;2023-09-26 08:30:00;26,5;7,63E+07;
23087;2023-09-26 09:10:00;27,4;8,25E+07;
23088;2023-09-25 08:30:00;15,0;4,46E+06;
23088;2023-09-25 13:00:00;15,0;5,46E+06;
23088;2023-09-25 17:00:00;15,6;9,52E+06;
23088;2023-09-25 21:00:00;16,5;2,28E+07;
23088;2023-09-26 07:00:00;22,2;7,66E+07;
23088;2023-09-26 08:00:00;24,7;7,09E+07;
23088;2023-09-26 08:30:00;26,5;7,63E+07;
23088;2023-09-26 09:10:00;27,4;8,25E+07;
23089;2023-10-01 08:30:00;16,8;3,56E+06;
23089;2023-10-02 07:15:00;25,7;6,39E+07;
23089;2023-10-02 08:15:00;26,6;8,67E+07;
23090;2023-10-01 08:30:00;16,8;3,56E+06;
23090;2023-10-02 07:15:00;25,7;6,39E+07;
23090;2023-10-02 08:15:00;26,6;8,67E+07;
23091;2023-10-02 07:45:00;15,4;4,74E+06;
23091;2023-10-02 12:45:00;16,2;6,84E+06;
23091;2023-10-02 16:45:00;17,4;6,75E+06;
23091;2023-10-02 20:45:00;17,9;1,90E+07;
23091;2023-10-03 06:45:00;24,3;6,30E+07;
23091;2023-10-03 08:00:00;25,6;9,57E+07;
23092;2023-10-02 07:45:00;15,4;4,74E+06;
23092;2023-10-02 12:45:00;16,2;6,84E+06;
