Orden;Número material;Texto breve material;Lote;Cantidad entregada;Unidad de medida
200178572;123456;MATERIAL DESCRITION;23/019;13,800;L
200179217;123456;MATERIAL DESCRITION;23/020;13,600;L
200181620;123456;MATERIAL DESCRITION;23/021;13,500;L
200182428;123456;MATERIAL DESCRITION;23/022;13,800;L
200182429;123456;MATERIAL DESCRITION;23/023;13,700;L
200182430;123456;MATERIAL DESCRITION;23/024;13,700;L
200182431;123456;MATERIAL DESCRITION;23/025;13,700;L
200182432;123456;MATERIAL DESCRITION;23/026;13,800;L
200182433;123456;MATERIAL DESCRITION;23/027;13,700;L
200182434;123456;MATERIAL DESCRITION;23/028;13,700;L
200182435;123456;MATERIAL DESCRITION;23/029;13,700;L
200182436;123456;MATERIAL DESCRITION;23/030;13,900;L
200182437;123456;MATERIAL DESCRITION;23/031;13,800;L
200182440;123456;MATERIAL DESCRITION;23/032;13,700;L
200182441;123456;MATERIAL DESCRITION;23/033;13,800;L
200182442;123456;MATERIAL DESCRITION;23/034;13,800;L
200182443;123456;MATERIAL DESCRITION;23/035;13,800;L
200182444;123456;MATERIAL DESCRITION;23/036;13,700;L
200185569;123456;MATERIAL DESCRITION;23/038;14,000;L
200185570;123456;MATERIAL DESCRITION;23/039;13,700;L
200182445;123456;MATERIAL DESCRITION;23/040;13,800;L
200184533;123456;MATERIAL DESCRITION;23/041;13,800;L
200184534;123456;MATERIAL DESCRITION;23/042;13,700;L
200184603;123456;MATERIAL DESCRITION;23/043;13,700;L
200184604;123456;MATERIAL DESCRITION;23/044;13,700;L
200184605;123456;MATERIAL DESCRITION;23/045;13,800;L
200184606;123456;MATERIAL DESCRITION;23/046;0,000;L
200184607;123456;MATERIAL DESCRITION;23/047;0,000;L
200184609;123456;MATERIAL DESCRITION;23/048;13,800;L
200184610;123456;MATERIAL DESCRITION;23/049;13,700;L
200184611;123456;MATERIAL DESCRITION;23/050;13,800;L
200184612;123456;MATERIAL DESCRITION;23/051;13,700;L
200187023;123456;MATERIAL DESCRITION;23/053;13,800;L
200187024;123456;MATERIAL DESCRITION;23/054;13,700;L
200187025;123456;MATERIAL DESCRITION;23/055;13,700;L
200182448;123456;MATERIAL DESCRITION;23/057;13,700;L
200187026;123456;MATERIAL DESCRITION;23/056;13,700;L
200182446;123456;MATERIAL DESCRITION;23/061;13,700;L
200187027;123456;MATERIAL DESCRITION;23/060;13,900;L
200187028;123456;MATERIAL DESCRITION;23/063;13,700;L
200187029;123456;MATERIAL DESCRITION;23/064;13,800;L
200187030;123456;MATERIAL DESCRITION;23/065;13,800;L
10005176;123456;MATERIAL DESCRITION;P23273;13,800;L
200187032;123456;MATERIAL DESCRITION;23/067;13,800;L
200187033;123456;MATERIAL DESCRITION;23/068;13,800;L
200188840;123456;MATERIAL DESCRITION;23/069;13,700;L
200188841;123456;MATERIAL DESCRITION;23/070;13,600;L
200188842;123456;MATERIAL DESCRITION;23/071;13,800;L
200188843;123456;MATERIAL DESCRITION;23/072;13,800;L
200188844;123456;MATERIAL DESCRITION;23/073;13,900;L
200188846;123456;MATERIAL DESCRITION;23/075;13,900;L
200188847;123456;MATERIAL DESCRITION;23/076;13,800;L
200188848;123456;MATERIAL DESCRITION;23/077;13,700;L
200188849;123456;MATERIAL DESCRITION;23/078;13,700;L
200188850;123456;MATERIAL DESCRITION;23/079;13,800;L
200188851;123456;MATERIAL DESCRITION;23/080;13,700;L
200191079;123456;MATERIAL DESCRITION;23/082;13,700;L
200191080;123456;MATERIAL DESCRITION;23/083;13,600;L
200191081;123456;MATERIAL DESCRITION;23/084;13,800;L
200191078;123456;MATERIAL DESCRITION;23/081;13,800;L
200191082;123456;MATERIAL DESCRITION;23/085;13,900;L
200191083;123456;MATERIAL DESCRITION;23/086;14,000;L
200191084;123456;MATERIAL DESCRITION;23/087;13,800;L
200191085;123456;MATERIAL DESCRITION;23/088;13,700;L
200191086;123456;MATERIAL DESCRITION;23/089;13,700;L
200191087;123456;MATERIAL DESCRITION;23/090;13,700;L
200191088;123456;MATERIAL DESCRITION;23/091;13,800;L
200191385;123456;MATERIAL DESCRITION;23/092;13,800;L
200191090;123456;MATERIAL DESCRITION;23/093;13,700;L
200191386;123456;MATERIAL DESCRITION;23/094;13,700;L
200191387;123456;MATERIAL DESCRITION;23/095;13,700;L
200191388;123456;MATERIAL DESCRITION;23/096;13,300;L
200191389;123456;MATERIAL DESCRITION;23/097;13,500;L
200191390;123456;MATERIAL DESCRITION;23/098;13,800;L
200191391;123456;MATERIAL DESCRITION;23/099;13,800;L
200191392;123456;MATERIAL DESCRITION;23/100;13,700;L
200191393;123456;MATERIAL DESCRITION;23/101;13,600;L
200191394;123456;MATERIAL DESCRITION;23/102;13,600;L
200191395;123456;MATERIAL DESCRITION;23/103;13,600;L
200191398;123456;MATERIAL DESCRITION;23/106;13,700;L
200191399;123456;MATERIAL DESCRITION;23/107;13,700;L
200191396;123456;MATERIAL DESCRITION;23/105;13,700;L
200191397;123456;MATERIAL DESCRITION;23/104;13,500;L
200191400;123456;MATERIAL DESCRITION;23/108;13,600;L
200195712;123456;MATERIAL DESCRITION;23/109;13,600;L
200195713;123456;MATERIAL DESCRITION;23/110;13,700;L
200195717;123456;MATERIAL DESCRITION;23/111;13,700;L
200195718;123456;MATERIAL DESCRITION;23/112;13,700;L
200195909;123456;MATERIAL DESCRITION;23/113;13,500;L
200195910;123456;MATERIAL DESCRITION;23/114;13,600;L
200196317;123456;MATERIAL DESCRITION;23/115;13,900;L
200196318;123456;MATERIAL DESCRITION;23/116;13,800;L
200196400;123456;MATERIAL DESCRITION;23/117;13,600;L
10005233;123456;MATERIAL DESCRITION;23/121;13,600;L
200196401;123456;MATERIAL DESCRITION;23/118;13,700;L
200196440;123456;MATERIAL DESCRITION;23/119;13,600;L
200196441;123456;MATERIAL DESCRITION;23/120;13,700;L
200196587;123456;MATERIAL DESCRITION;23/122;13,600;L
200196590;123456;MATERIAL DESCRITION;23/123;13,800;L
10005235;123456;MATERIAL DESCRITION;23/126;13,600;L
10005236;123456;MATERIAL DESCRITION;23/127;13,600;L
200196793;123456;MATERIAL DESCRITION;23/124;13,700;L
200196794;123456;MATERIAL DESCRITION;23/125;13,500;L
200196872;123456;MATERIAL DESCRITION;23/130;13,600;L
200196875;123456;MATERIAL DESCRITION;23/129;13,700;L
200196873;123456;MATERIAL DESCRITION;23/134;13,400;L
200196877;123456;MATERIAL DESCRITION;23/131;13,600;L
200197370;123456;MATERIAL DESCRITION;23/135;13,800;L
200196876;123456;MATERIAL DESCRITION;23/132;13,600;L
200196878;123456;MATERIAL DESCRITION;23/133;13,700;L
200196879;123456;MATERIAL DESCRITION;23/136;13,760;L
200196880;123456;MATERIAL DESCRITION;23/137;13,750;L
200196881;123456;MATERIAL DESCRITION;23/138;13,770;L
200196882;123456;MATERIAL DESCRITION;23/139;13,720;L
200196887;123456;MATERIAL DESCRITION;24/003;12,480;L
200196890;123456;MATERIAL DESCRITION;24/004;13,690;L
200196891;123456;MATERIAL DESCRITION;24/005;13,550;L
200196893;123456;MATERIAL DESCRITION;24/007;13,680;L
200196894;123456;MATERIAL DESCRITION;24/008;13,750;L
200196898;123456;MATERIAL DESCRITION;24/010;13,660;L
200196905;123456;MATERIAL DESCRITION;24/009;13,770;L
200196906;123456;MATERIAL DESCRITION;24/011;13,820;L
200196888;123456;MATERIAL DESCRITION;24/012;13,690;L
200196899;123456;MATERIAL DESCRITION;24/014;13,550;L
200196907;123456;MATERIAL DESCRITION;24/015;13,540;L
200196895;123456;MATERIAL DESCRITION;24/016;13,720;L
200196896;123456;MATERIAL DESCRITION;24/017;13,860;L
200196889;123456;MATERIAL DESCRITION;24/020;13,630;L
200196902;123456;MATERIAL DESCRITION;24/019;13,740;L
200196908;123456;MATERIAL DESCRITION;24/021;13,540;L
200196903;123456;MATERIAL DESCRITION;24/022;13,800;L
200196904;123456;MATERIAL DESCRITION;24/023;13,770;L
200196897;123456;MATERIAL DESCRITION;24/025;13,750;L
200199658;123456;MATERIAL DESCRITION;24/027;13,600;L
200199659;123456;MATERIAL DESCRITION;24/028;13,310;L
200200223;123456;MATERIAL DESCRITION;24/031;13,700;L
200200226;123456;MATERIAL DESCRITION;24/035;13,700;L
200200227;123456;MATERIAL DESCRITION;24/036;13,740;L
200200228;123456;MATERIAL DESCRITION;24/037;13,760;L
10005271;123456;MATERIAL DESCRITION;24/038;13,890;L
200200231;123456;MATERIAL DESCRITION;24/040;13,590;L
200200372;123456;MATERIAL DESCRITION;24/041;13,810;L
200200373;123456;MATERIAL DESCRITION;24/042;13,780;L
200200374;123456;MATERIAL DESCRITION;24/045;13,710;L
200200387;123456;MATERIAL DESCRITION;24/046;13,710;L
200200233;123456;MATERIAL DESCRITION;24/044;13,750;L
200200380;123456;MATERIAL DESCRITION;24/049;13,570;L
200200381;123456;MATERIAL DESCRITION;24/050;13,630;L
200200378;123456;MATERIAL DESCRITION;24/047;13,720;L
200200385;123456;MATERIAL DESCRITION;24/051;13,830;L
200200386;123456;MATERIAL DESCRITION;24/053;13,750;L
200200388;123456;MATERIAL DESCRITION;24/052;13,780;L
200200376;123456;MATERIAL DESCRITION;24/054;13,460;L
200200377;123456;MATERIAL DESCRITION;24/055;13,690;L
200200382;123456;MATERIAL DESCRITION;24/056;13,850;L
200202545;123456;MATERIAL DESCRITION;24/057;13,530;L
200200371;123456;MATERIAL DESCRITION;24/059;13,670;L
200200384;123456;MATERIAL DESCRITION;24/058;13,570;L
200200375;123456;MATERIAL DESCRITION;24/062;13,400;L
200202547;123456;MATERIAL DESCRITION;24/060;13,480;L
200202548;123456;MATERIAL DESCRITION;24/061;13,490;L
200200383;123456;MATERIAL DESCRITION;24/063;13,670;L
200202551;123456;MATERIAL DESCRITION;24/064;13,360;L
200202549;123456;MATERIAL DESCRITION;24/065;13,540;L
200202550;123456;MATERIAL DESCRITION;24/066;13,560;L
200200221;123456;MATERIAL DESCRITION;24/068;13,460;L
200202552;123456;MATERIAL DESCRITION;24/069;13,480;L
200202553;123456;MATERIAL DESCRITION;24/067;13,610;L
200202554;123456;MATERIAL DESCRITION;24/070;13,590;L
200202555;123456;MATERIAL DESCRITION;24/071;13,570;L
200202557;123456;MATERIAL DESCRITION;24/072;13,72;L
200202558;123456;MATERIAL DESCRITION;24/073;13,72;L
200200230;123456;MATERIAL DESCRITION;24/074;13,38;L
200203877;123456;MATERIAL DESCRITION;24/075;13,64;L
200205527;123456;MATERIAL DESCRITION;24/077;13,72;L
200205681;123456;MATERIAL DESCRITION;24/078;13,49;L
200205528;123456;MATERIAL DESCRITION;24/080;13,59;L
200205682;123456;MATERIAL DESCRITION;24/079;13,6;L
200205533;123456;MATERIAL DESCRITION;24/081;13,72;L
200205529;123456;MATERIAL DESCRITION;24/082;13,78;L
200205530;123456;MATERIAL DESCRITION;24/083;13,75;L
200203878;123456;MATERIAL DESCRITION;24/084;13,83;L
200205531;123456;MATERIAL DESCRITION;24/085;13,77;L
200205532;123456;MATERIAL DESCRITION;24/086;13,67;L
200205683;123456;MATERIAL DESCRITION;24/087;13,76;L
200205535;123456;MATERIAL DESCRITION;24/088;13,67;L
200205536;123456;MATERIAL DESCRITION;24/089;13,67;L
200205534;123456;MATERIAL DESCRITION;24/090;13,73;L
200205524;123456;MATERIAL DESCRITION;24/091;13,71;L
200205525;123456;MATERIAL DESCRITION;24/092;13,56;L
200200229;123456;MATERIAL DESCRITION;24/093;13,71;L
200200232;123456;MATERIAL DESCRITION;24/094;13,76;L
200205678;123456;MATERIAL DESCRITION;24/096;13,64;L
200205684;123456;MATERIAL DESCRITION;24/095;13,65;L
200205685;123456;MATERIAL DESCRITION;24/097;13,73;L
200205691;123456;MATERIAL DESCRITION;24/098;13,65;L
200205693;123456;MATERIAL DESCRITION;24/099;13,81;L
200205697;123456;MATERIAL DESCRITION;24/100;13,48;L
200205690;123456;MATERIAL DESCRITION;24/103;13,64;L
200205698;123456;MATERIAL DESCRITION;24/101;13,63;L
200205692;123456;MATERIAL DESCRITION;24/104;13,61;L
200205694;123456;MATERIAL DESCRITION;24/105;13,82;L
200205686;123456;MATERIAL DESCRITION;24/108;13,63;L
200205695;123456;MATERIAL DESCRITION;24/106;13,69;L
200205696;123456;MATERIAL DESCRITION;24/107;13,45;L
200205687;123456;MATERIAL DESCRITION;24/109;11,35;L
200205688;123456;MATERIAL DESCRITION;24/110;13,77;L
